Name,Platform,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Genre
LEGO Marvel Super Heroes 2,PlayStation 4,73,61,7.0,75,TT Games,E10+,Action
LEGO Marvel Super Heroes 2,Xbox One,74,18,7.3,28,TT Games,E10+,Action
Assassin's Creed Origins,PlayStation 4,81,63,7.2,3001,"Ubisoft, Ubisoft Montreal",M,Action Adventure
Assassin's Creed Origins,Xbox One,85,42,7.6,826,"Ubisoft, Ubisoft Montreal",M,Action Adventure
Nights of Azure 2: Bride of the New Moon,Switch,66,8,6.6,23,Gust,T,Role-Playing
Yomawari: Midnight Shadows,PlayStation 4,77,23,7.0,26,Nippon Ichi Software,M,Action Adventure
Yomawari: Midnight Shadows,PlayStation Vita,,,8.2,11,Nippon Ichi Software,M,Action Adventure
Fire Emblem Warriors,3DS,69,12,8.0,54,Omega Force,T,Action
Fire Emblem Warriors,Switch,74,72,7.8,374,Omega Force,T,Action
Bad Apple Wars,PlayStation Vita,78,7,7.1,7,Otomate,T,Adventure
Friday the 13th: The Game,PlayStation 4,61,16,6.4,268,"IllFonic, Gun Media",M,Action Adventure
Friday the 13th: The Game,Xbox One,53,9,6.6,100,"IllFonic, Gun Media",M,Action Adventure
The Evil Within 2,PlayStation 4,76,67,8.3,1394,Tango Gameworks,M,Action Adventure
The Evil Within 2,Xbox One,82,24,9.0,747,Tango Gameworks,M,Action Adventure
Middle-earth: Shadow of War,Xbox One,81,38,4.4,394,Monolith Productions,M,Action Adventure
Middle-earth: Shadow of War,PC,75,17,4.2,991,Monolith Productions,M,Action Adventure
Middle-earth: Shadow of War,PlayStation 4,80,69,4.6,1547,Monolith Productions,M,Action Adventure
Sine Mora EX,Switch,70,11,7.2,27,Grasshopper Manufacture,M,Action
Tiny Barbarian DX,Switch,77,11,7.7,21,"Nicalis, StarQuail",E10+,Action
88 Heroes: 98 Heroes Edition,Switch,65,10,6.4,8,Bitmap Bureau,E10+,Action
Gundam Versus,PlayStation 4,68,32,6.4,49,Bandai Namco Games,T,Action
Pharaonic,PlayStation 4,,,6.0,6,Milkstone Studios,T,Role-Playing
Pharaonic,Xbox One,71,4,7.6,7,Milkstone Studios,T,Role-Playing
Labyrinth of Refrain: Coven of Dusk,PlayStation 4,75,9,7.0,23,Nippon Ichi Software,M,Role-Playing
Dishonored: Death of the Outsider,PlayStation 4,82,47,7.2,211,Arkane Studios,M,Action Adventure
Dishonored: Death of the Outsider,Xbox One,84,16,6.3,66,Arkane Studios,M,Action Adventure
Warriors All-Stars,PlayStation 4,70,38,6.4,27,Omega Force,T,Action
Azure Striker Gunvolt: Striker Pack,Switch,82,9,7.9,47,Inti Creates,T,Miscellaneous
Nights of Azure 2,PlayStation Vita,,,,,Gust,,Action
Resident Evil: Revelations,Xbox One,78,6,8.2,63,Capcom,M,Action Adventure
Resident Evil: Revelations,PlayStation 4,70,32,7.8,143,Capcom,M,Action Adventure
Monster Hunter Generations Ultimate,Switch,80,52,8.6,161,Capcom,T,Role-Playing
The Lost Child,PlayStation 4,62,12,5.1,10,Kadokawa,T,Role-Playing
Uncharted: The Lost Legacy,PlayStation 4,84,104,8.0,1999,Naughty Dog,T,Action
The Escapists 2,Xbox One,77,10,6.3,12,Mouldy Toof Studios,T,Action
The Escapists 2,PlayStation 4,75,30,6.8,16,Mouldy Toof Studios,T,Action
Agents of Mayhem,Xbox One,73,18,6.3,60,Volition Inc.,M,Action Adventure
Agents of Mayhem,PlayStation 4,62,70,6.6,151,Volition Inc.,M,Action Adventure
Troll and I,Switch,,,4.8,24,Spiral House Ltd.,T,Action Adventure
Hitman,PlayStation 4,84,40,7.8,401,Io Interactive,M,Modern
Mega Man Legacy Collection 2,Xbox One,72,4,8.6,48,"Capcom, Now Production, Bullets",E10+,Miscellaneous
Mega Man Legacy Collection 2,PlayStation 4,71,39,8.5,70,"Capcom, Now Production, Bullets",E10+,Miscellaneous
Sine Mora EX,Xbox One,80,7,8.1,7,Digital Reality,M,Action
Sine Mora EX,PlayStation 4,81,18,7.1,20,Digital Reality,M,Action
Collar x Malice,PlayStation Vita,74,7,7.5,14,Otomate,M,General
Unbox: Newbie's Adventure,PlayStation 4,63,8,tbd,,Merge Games,E,Action
Fortnite,PC,81,11,3.1,1387,Epic Games,T,Action
Fortnite,Xbox One,85,5,3.7,326,Epic Games,T,Action
Fortnite,PlayStation 4,78,16,3.8,1242,Epic Games,T,Action
Yonder: The Cloud Catcher Chronicles,PlayStation 4,64,39,7.6,54,Prideful Sloth,E,Action Adventure
Dead by Daylight,Xbox One,58,10,4.6,106,505 Games,M,Action Adventure
Dead by Daylight,PlayStation 4,64,18,5.2,282,505 Games,M,Action Adventure
ClaDun Returns: This is Sengoku!,PlayStation 4,73,12,6.2,9,Nippon Ichi Software,E10+,Role-Playing
Star Trek: Bridge Crew,PlayStation 4,75,42,7.0,64,"Ubisoft, Red Storm Entertainment",E10+,Action Adventure
ClaDun Returns: This is Sengoku!,PlayStation Vita,62,4,tbd,,Nippon Ichi Software,E10+,Role-Playing
Samurai Warriors: Spirit of Sanada,PlayStation 4,74,31,7.1,19,Omega Force,T,Action
Akiba's Beat,PlayStation 4,55,33,6.8,39,Acquire,T,Action Adventure
Akiba's Beat,PlayStation Vita,,,6.1,8,Acquire,T,Role-Playing
The Surge,PlayStation 4,73,57,6.6,334,Deck 13,M,Role-Playing
The Surge,Xbox One,74,17,7.2,86,Deck 13,M,Role-Playing
War Thunder,PlayStation 4,76,17,5.4,427,Gaijin Entertainment,T,Action
Outlast Trinity,PlayStation 4,,,7.4,19,Warner Bros. Interactive Entertainment,M,Miscellaneous
Outlast Trinity,Xbox One,,,tbd,,Warner Bros. Interactive Entertainment,M,Miscellaneous
Has-Been Heroes,Switch,53,20,7.2,132,"Frozenbyte, Inc.",E10+,Strategy
Warriors All-Stars,PlayStation Vita,,,,,Omega Force,,Action
Has-Been Heroes,PlayStation 4,61,7,6.5,11,"Frozenbyte, Inc., GameTrust",E10+,Strategy
Has-Been Heroes,Xbox One,,,tbd,,GameTrust,E10+,Strategy
Has-Been Heroes,PC,63,5,6.1,12,"Frozenbyte, Inc.",E10+,Strategy
Touhou Genso Wanderer,PlayStation 4,70,18,6.7,15,Mediascape,T,Role-Playing
Troll and I,Xbox One,33,5,5.0,6,Maximum Games,T,Action Adventure
Troll and I,PlayStation 4,39,12,4.4,37,Maximum Games,T,Action Adventure
Vikings: Wolves of Midgard,PlayStation 4,67,14,6.9,62,Games Farm,M,Role-Playing
Vikings: Wolves of Midgard,Xbox One,64,7,6.8,18,Games Farm,M,Role-Playing
