Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Lollipop Chainsaw,PlayStation 3,2012.0,Action,Warner Bros. Interactive Entertainment  ,0.27,0.21,0.11,0.08,0.67,67.0,37.0,7.2,224.0,Grasshopper Manufacture,M
Lollipop Chainsaw,Xbox 360,2012.0,General,Warner Bros. Interactive Entertainment  ,0.31,0.12,0.02,0.04,0.48,70.0,64.0,7.0,281.0,Grasshopper Manufacture,M
Metal Gear Solid HD Collection,PlayStation Vita,2012.0,Miscellaneous,Konami Digital Entertainment  ,0.12,0.2,0.05,0.08,0.44,81.0,36.0,8.5,268.0,Armature Studio,M
Metal Gear Solid HD Collection,PlayStation Vita,2012.0,Miscellaneous,Konami Digital Entertainment  ,0.03,0.01,0.0,0.0,0.03,81.0,36.0,8.5,268.0,Armature Studio,M
Metal Gear Solid HD Collection,PlayStation Vita,2012.0,Miscellaneous,Konami Digital Entertainment  ,0.0,0.0,0.04,0.0,0.04,81.0,36.0,8.5,268.0,Armature Studio,M
Tokyo Jungle,PlayStation 3,2020.0,Action,Sony Computer Entertainment  ,0.0,0.0,0.26,0.0,0.26,74.0,60.0,8.1,109.0,Crispy's,T
Samurai & Dragons,PlayStation Vita,2012.0,Action,Sega  ,0.0,0.0,0.02,0.0,0.02,,,,,Sega,RP
Prototype 2,PlayStation 3,2012.0,Action Adventure,Activision  ,0.38,0.28,0.0,0.11,0.77,79.0,39.0,6.8,212.0,Radical Entertainment,M
Prototype 2,PC,2012.0,Action Adventure,Activision  ,0.09,0.03,0.0,0.01,0.12,76.0,12.0,6.6,520.0,Radical Entertainment,M
Kinect Star Wars,Xbox 360,2012.0,Action,Microsoft Studios  ,1.05,0.53,0.03,0.15,1.76,55.0,61.0,3.8,154.0,Terminal Reality,T
Top Gun: Hard Lock,PlayStation 3,2012.0,Action,505 Games  ,0.0,0.03,0.0,0.01,0.03,,,7.2,13.0,505 Games,T
Top Gun: Hard Lock,Xbox 360,2012.0,Action,505 Games  ,0.03,0.02,0.0,0.0,0.06,54.0,8.0,3.5,16.0,505 Games,T
GoGo's Crazy Bones,DS,2012.0,Action,GameMill Entertainment  ,0.0,0.01,0.0,0.0,0.01,,,,,Black Lantern Studios,E
Ninja Gaiden 3,Xbox 360,2012.0,Action,Tecmo Koei  ,0.16,0.05,0.03,0.02,0.25,58.0,39.0,4.4,141.0,Team Ninja,M
Ninja Gaiden 3,PlayStation 3,2012.0,Action,Tecmo Koei  ,0.19,0.09,0.11,0.05,0.44,58.0,43.0,5.1,162.0,Team Ninja,M
Warriors Orochi 3,PlayStation 3,2012.0,Action,Tecmo Koei  ,0.0,0.04,0.57,0.01,0.62,70.0,17.0,7.9,39.0,Omega Force,T
Blades of Time,PlayStation 3,2012.0,Action,Konami Digital Entertainment  ,0.04,0.03,0.01,0.01,0.1,53.0,19.0,7.0,33.0,Gaijin Entertainment,M
Blades of Time,Xbox 360,2012.0,Action,Konami Digital Entertainment  ,0.07,0.02,0.0,0.01,0.1,52.0,23.0,6.5,35.0,Gaijin Entertainment,M
LEGO Harry Potter: Years 5-7,PlayStation Vita,2012.0,Action Adventure,Warner Bros. Interactive Entertainment  ,0.07,0.09,0.0,0.04,0.2,64.0,19.0,6.9,25.0,Traveller's Tales,E10+
